wins,draws,losses,goals_for,goals_against,points_avg
29,6,3,99,26,2.45
28,8,2,94,26,2.42
21,11,6,76,33,1.95
22,5,11,69,40,1.87
22,3,13,61,48,1.82
16,10,12,57,57,1.53
16,8,14,60,51,1.47
14,10,14,62,59,1.37
12,15,11,42,44,1.34
15,6,17,38,43,1.34
13,10,15,44,62,1.29
11,15,12,50,46,1.26
13,7,18,48,56,1.21
13,6,19,52,54,1.18
9,13,16,43,67,1.05
11,6,21,43,66,1.03
9,11,18,42,79,1.00
7,14,17,34,53,0.92
6,5,27,34,77,0.61
5,7,26,23,84,0.58
27,5,6,83,32,2.26
21,11,6,73,44,1.95
20,9,9,68,42,1.82
19,10,9,58,36,1.76
20,6,12,68,50,1.74
19,8,11,62,47,1.71
18,8,12,68,45,1.63
18,7,13,55,39,1.61
18,5,15,62,54,1.55
17,8,13,47,48,1.55
16,7,15,55,46,1.45
12,9,17,46,62,1.18
12,9,17,36,52,1.18
12,8,18,41,66,1.16
12,7,19,47,68,1.13
9,14,15,40,46,1.08
10,9,19,33,55,1.03
5,13,20,27,53,0.74
5,11,22,35,76,0.68
7,2,29,20,63,0.61
32,3,3,85,33,2.61
26,3,9,102,35,2.13
18,12,8,66,36,1.74
20,6,12,69,54,1.74
18,8,12,67,41,1.63
16,11,11,61,47,1.55
15,14,9,51,40,1.55
14,14,10,56,48,1.47
14,12,12,39,39,1.42
15,9,14,43,50,1.42
15,7,16,51,60,1.37
13,10,15,44,56,1.29
11,11,16,38,58,1.16
11,10,17,31,50,1.13
9,14,15,39,54,1.08
10,9,19,49,62,1.03
9,8,21,41,67,0.92
9,7,22,40,65,0.89
8,10,20,36,64,0.89
5,6,27,26,75,0.55
